year,imdb,title,test,clean_test,binary,budget,Country,Genre,isUSFilm,Production,RT_Score
2011,tt0990407,The Green Hornet,notalk,notalk,FAIL,110000000,USA,"Action, Comedy, Crime, Sci-Fi, Thriller",True,Sony Pictures,44
2011,tt1540133,The Guard,notalk,notalk,FAIL,6000000,Ireland,"Comedy, Crime, Thriller",False,Sony Pictures Classics,94
2011,tt1454029,The Help,ok,ok,PASS,25000000,"USA, India, United Arab Emirates",Drama,True,DreamWorks Studios,76
2011,tt1007029,The Iron Lady,ok,ok,PASS,14000000,"UK, France","Biography, Drama",False,The Weinstein Co.,51
2011,tt1189340,The Lincoln Lawyer,notalk,notalk,FAIL,40000000,USA,"Crime, Drama, Thriller",True,Lionsgate Films,84
2011,tt0472399,The Mechanic,nowomen,nowomen,FAIL,42500000,USA,"Action, Crime, Thriller",True,CBS Films,53
2011,tt1204342,The Muppets,notalk-disagree,notalk,FAIL,45000000,USA,"Adventure, Comedy, Family, Musical",True,Walt Disney Pictures,95
2011,tt1161864,The Rite,dubious-disagree,dubious,FAIL,37000000,"USA, Hungary, Italy","Drama, Horror, Mystery, Thriller",True,Warner Bros. Pictures/New Line Cinema,21
2011,tt1265990,The Roommate,ok,ok,PASS,16000000,USA,"Drama, Thriller",True,Screen Gems/SONY PICTURES,4
2011,tt0472181,The Smurfs,ok,ok,PASS,110000000,"USA, Belgium, Canada","Animation, Adventure, Comedy, Family, Fantasy",True,Sony Pictures Columbia,22
2011,tt1509767,The Three Musketeers,men,men,FAIL,90000000,"USA, Germany, France, UK","Action, Adventure, Romance",True,Summit Entertainment,26
2011,tt0478304,The Tree of Life,nowomen-disagree,nowomen,FAIL,35000000,USA,"Drama, Fantasy",True,Fox Searchlight,85
2011,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,ok,ok,PASS,127500000,USA,"Adventure, Drama, Fantasy, Romance",True,Summit Entertainment,25
2011,tt0800369,Thor,ok-disagree,ok,PASS,150000000,USA,"Action, Adventure, Fantasy, Sci-Fi",True,Paramount Pictures,77
2011,tt1340800,Tinker Tailor Soldier Spy,notalk,notalk,FAIL,21000000,"France, UK, Germany","Drama, Mystery, Thriller",False,Focus Features,83
2011,tt0471042,Tower Heist,notalk,notalk,FAIL,85000000,USA,"Action, Comedy, Crime",True,Universal Pictures,67
2011,tt1399103,Transformers: Dark of the Moon,ok-disagree,ok,PASS,195000000,USA,"Action, Adventure, Sci-Fi",True,Paramount Studios,35
2011,tt1568911,War Horse,notalk-disagree,notalk,FAIL,70000000,"USA, India","Drama, History, War",True,Walt Disney Pictures,76
2011,tt1291584,Warrior,notalk,notalk,FAIL,25000000,USA,"Drama, Sport",True,Lionsgate,83
2011,tt1389137,We Bought a Zoo,men-disagree,men,FAIL,50000000,USA,"Comedy, Drama, Family",True,20th Century Fox,64
2011,tt1714210,Weekend,notalk,notalk,FAIL,190000,UK,"Drama, Romance",False,IFC Films,95
2011,tt0770703,What&#39;s Your Number,ok,ok,PASS,20000000,USA,"Comedy, Romance",True,20th Century Fox,24
2011,tt1449283,Winnie the Pooh,nowomen,nowomen,FAIL,30000000,USA,"Animation, Adventure, Comedy, Family, Musical",True,Walt Disney Pictures,91
2011,tt1270798,X-Men: First Class,ok-disagree,ok,PASS,160000000,"USA, UK","Action, Adventure, Sci-Fi",True,20th Century Fox,86
2011,tt1625346,Young Adult,ok,ok,PASS,12000000,USA,"Comedy, Drama",True,Paramount Studios,80
2011,tt1742336,Your Sister&#39;s Sister,ok,ok,PASS,120000,USA,"Comedy, Drama",True,IFC Films,83
2010,tt1542344,127 Hours,dubious-disagree,dubious,FAIL,18000000,"USA, UK, France","Adventure, Biography, Drama, Thriller",True,Fox Searchlight,93
2010,tt1014759,Alice in Wonderland,ok,ok,PASS,200000000,USA,"Adventure, Family, Fantasy",True,Walt Disney Pictures,51
2010,tt1313092,Animal Kingdom,notalk,notalk,FAIL,4200000,Australia,"Crime, Drama",False,Sony Pictures Classics,95
2010,tt1431181,Another Year,ok,ok,PASS,8000000,UK,"Comedy, Drama",False,Sony Classics,92
2010,tt1423894,Barney&#39;s Version,ok,ok,PASS,30000000,"Italy, Canada","Comedy, Drama",False,Sony Classics,79
2010,tt1532503,Beginners,notalk,notalk,FAIL,3200000,USA,"Comedy, Drama, Romance",True,Focus Features,85
2010,tt1164999,Biutiful,notalk,notalk,FAIL,35000000,"Mexico, Spain","Drama, Romance",False,Roadside Attractions,66
2010,tt0947798,Black Swan,ok-disagree,ok,PASS,13000000,USA,"Drama, Thriller",True,Fox Searchlight,85
2010,tt1120985,Blue Valentine,men-disagree,men,FAIL,1000000,USA,"Drama, Romance",True,Weinstein Company,87
2010,tt1126591,Burlesque,ok,ok,PASS,55000000,USA,"Drama, Music, Musical, Romance",True,Sony Pictures/Screen Gems,36
2010,tt1194417,Casino Jack,notalk-disagree,notalk,FAIL,12500000,Canada,"Biography, Comedy, Crime, Drama",False,ATO Pictures,40
2010,tt1020558,Centurion,notalk,notalk,FAIL,15000000,"UK, France, USA","Action, Adventure, Drama, History, Thriller, War",True,Magnolia Pictures,61
2010,tt1438254,Charlie St. Cloud,notalk-disagree,notalk,FAIL,44000000,"USA, Canada","Drama, Fantasy, Romance",True,Universal Pictures,27
2010,tt0800320,Clash of the Titans,dubious,dubious,FAIL,125000000,"USA, UK, Australia","Action, Adventure, Fantasy",True,Warner Bros.,27
2010,tt1244754,Conviction,ok,ok,PASS,12500000,USA,"Biography, Crime, Drama",True,Fox Searchlight,67
2010,tt1385867,Cop Out,notalk,notalk,FAIL,37000000,USA,"Action, Comedy, Crime, Thriller",True,Warner Bros. Pictures,18
2010,tt1555064,Country Strong,ok,ok,PASS,15000000,USA,"Drama, Music",True,Screen Gems,22
2010,tt1336617,Cyrus,notalk,notalk,FAIL,7000000,USA,"Comedy, Drama, Romance",True,Fox Searchlight,80
